Index	X	Acquisition
520	9.45454355425027	316
521	9.48486591391496	293
522	9.51518830205691	347
523	9.54551071876713	316
524	9.57583316413667	316
525	9.60615563825655	339
526	9.6364781412178	348
527	9.66680067311146	332
528	9.69712323402856	321
529	9.72744582406012	372
530	9.75776844329719	320
531	9.78809109183079	316
532	9.81841376975195	343
533	9.8487364771517	322
534	9.87905921412109	331
535	9.90938198075113	347
536	9.93970477713286	393
537	9.97002760335731	348
538	10.0003504595155	355
539	10.0306733456985	341
540	10.0609962619973	330
541	10.091319208503	338
542	10.1216421853065	335
543	10.1519651924989	329
544	10.1822882301713	334
545	10.2126112984147	382
546	10.2429343973201	373
547	10.2732575269785	329
548	10.3035806874809	368
549	10.3339038789185	363
550	10.3642271013822	378
551	10.3945503549631	388
552	10.4248736397522	379
553	10.4551969558404	358
554	10.485520303319	361
555	10.5158436822788	352
556	10.546167092811	396
557	10.5764905350065	382
558	10.6068140089564	392
559	10.6371375147517	371
560	10.6674610524835	366
561	10.6977846222427	341
562	10.7281082241205	359
563	10.7584318582078	400
564	10.7887555245956	386
565	10.8190792233751	382
566	10.8494029546372	348
567	10.879726718473	381
568	10.9100505149735	370
569	10.9403743442297	396
570	10.9706982063327	373
571	11.0010221013734	384
572	11.031346029443	377
573	11.0616699906325	385
574	11.0919939850329	402
575	11.1223180127351	415
576	11.1526420738303	396
577	11.1829661684095	413
578	11.2132902965638	374
579	11.243614458384	413
580	11.2739386539614	383
581	11.3042628833868	388
582	11.3345871467514	379
583	11.3649114441462	412
584	11.3952357756622	388
585	11.4255601413904	359
586	11.4558845414219	409
587	11.4862089758477	377
588	11.5165334447588	391
589	11.5468579482463	395
590	11.5771824864012	393
591	11.6075070593145	404
592	11.6378316670772	430
593	11.6681563097805	389
594	11.6984809875153	419
595	11.7288057003726	387
596	11.7591304484435	435
597	11.789455231819	454
598	11.8197800505902	427
599	11.8501049048481	413
600	11.8804297946836	459
601	11.9107547201879	432
602	11.941079681452	417
603	11.9714046785669	440
604	12.0017297116236	451
605	12.0320547807132	396
606	12.0623798859267	447
607	12.0927050273551	426
608	12.1230302050895	435
609	12.1533554192209	427
610	12.1836806698403	445
611	12.2140059570388	458
612	12.2443312809073	411
613	12.274656641537	479
614	12.3049820390189	453
615	12.3353074734439	453
616	12.3656329449031	435
617	12.3959584534876	499
618	12.4262839992883	487
619	12.4566095823964	475
620	12.4869352029028	446
621	12.5172608608986	454
622	12.5475865564748	418
623	12.5779122897224	476
624	12.6082380607325	443
625	12.6385638695961	495
626	12.6688897164043	461
627	12.699215601248	461
628	12.7295415242182	519
629	12.7598674854062	467
630	12.7901934849027	469
631	12.820519522799	505
632	12.850845599186	471
633	12.8811717141547	458
634	12.9114978677962	474
635	12.9418240602016	505
636	12.9721502914618	490
637	13.0024765616678	513
638	13.0328028709108	496
639	13.0631292192817	469
640	13.0934556068716	525
641	13.1237820337715	512
642	13.1541085000724	520
643	13.1844350058654	459
644	13.2147615512415	464
645	13.2450881362918	472
646	13.2754147611072	497
647	13.3057414257788	494
648	13.3360681303976	554
649	13.3663948750546	493
650	13.396721659841	517
651	13.4270484848477	503
652	13.4573753501657	508
653	13.4877022558862	496
654	13.5180292021	514
655	13.5483561888983	489
656	13.5786832163721	508
657	13.6090102846123	488
658	13.6393373937102	536
659	13.6696645437565	505
660	13.6999917348425	472
661	13.7303189670592	533
662	13.7606462404975	540
663	13.7909735552485	515
664	13.8213009114032	544
665	13.8516283090527	555
666	13.881955748288	545
667	13.9122832292001	584
668	13.9426107518801	593
669	13.972938316419	582
670	14.0032659229078	502
671	14.0335935714375	529
672	14.0639212620992	537
673	14.094248994984	543
674	14.1245767701828	541
675	14.1549045877866	522
676	14.1852324478866	563
677	14.2155603505737	571
678	14.245888295939	559
679	14.2762162840735	530
680	14.3065443150683	522
681	14.3368723890143	537
682	14.3672005060026	566
683	14.3975286661242	529
684	14.4278568694702	544
685	14.4581851161316	541
686	14.4885134061995	599
687	14.5188417397647	577
688	14.5491701169185	545
689	14.5794985377518	582
690	14.6098270023556	551
691	14.6401555108211	605
692	14.6704840632391	575
693	14.7008126597008	579
694	14.7311413002972	548
695	14.7614699851193	567
696	14.7917987142581	558
