Index	X	Acquisition
924	21.7080880868394	742
925	21.7384293618288	698
926	21.7687707020721	732
927	21.7991121076605	663
928	21.829453578685	722
929	21.8597951152365	716
930	21.8901367174062	720
931	21.920478385285	712
932	21.9508201189641	694
933	21.9811619185343	736
934	22.0115037840869	722
935	22.0418457157127	757
936	22.0721877135028	728
937	22.1025297775483	729
938	22.1328719079402	698
939	22.1632141047694	699
940	22.1935563681272	734
941	22.2238986981044	690
942	22.2542410947921	740
943	22.2845835582814	712
944	22.3149260886632	758
945	22.3452686860286	709
946	22.3756113504687	750
947	22.4059540820744	727
948	22.4362968809369	761
949	22.466639747147	729
950	22.496982680796	707
951	22.5273256819747	755
952	22.5576687507743	698
953	22.5880118872857	711
954	22.6183550916	715
955	22.6486983638082	750
956	22.6790417040014	722
957	22.7093851122705	745
958	22.7397285887067	706
959	22.7700721334009	755
960	22.8004157464442	705
961	22.8307594279276	698
962	22.8611031779422	734
963	22.8914469965789	742
964	22.9217908839288	719
965	22.952134840083	710
966	22.9824788651324	708
967	23.0128229591681	758
968	23.0431671222812	712
969	23.0735113545626	739
970	23.1038556561034	704
971	23.1342000269947	725
972	23.1645444673274	730
973	23.1948889771926	726
974	23.2252335566813	740
975	23.2555782058845	710
976	23.2859229248934	700
977	23.3162677137988	715
978	23.3466125726919	742
979	23.3769575016637	714
980	23.4073025008052	745
981	23.4376475702074	767
982	23.4679927099615	715
983	23.4983379201583	745
984	23.5286832008889	782
985	23.5590285522444	734
986	23.5893739743159	797
987	23.6197194671942	766
988	23.6500650309705	768
989	23.6804106657358	768
990	23.7107563715811	756
991	23.7411021485975	802
992	23.771447996876	775
993	23.8017939165076	776
994	23.8321399075834	804
995	23.8624859701943	763
996	23.8928321044314	745
997	23.9231783103858	848
998	23.9535245881485	806
999	23.9838709378105	796
1000	24.0142173594628	732
1001	24.0445638531965	744
1002	24.0749104191026	845
1003	24.1052570572721	788
1004	24.1356037677961	852
1005	24.1659505507656	864
1006	24.1962974062717	831
1007	24.2266443344053	865
1008	24.2569913352575	834
1009	24.2873384089193	816
1010	24.3176855554817	810
1011	24.3480327750359	810
1012	24.3783800676728	832
1013	24.4087274334834	828
1014	24.4390748725588	820
1015	24.4694223849901	787
1016	24.4997699708682	798
1017	24.5301176302841	826
1018	24.560465363329	748
1019	24.5908131700938	782
1020	24.6211610506696	776
1021	24.6515090051474	753
1022	24.6818570336182	758
1023	24.7122051361731	739
1024	24.7425533129031	819
1025	24.7729015638992	779
1026	24.8032498892525	761
1027	24.8335982890539	794
1028	24.8639467633946	796
1029	24.8942953123656	782
1030	24.9246439360578	785
1031	24.9549926345624	782
1032	24.9853414079703	803
1033	25.0156902563726	805
1034	25.0460391798603	757
1035	25.0763881785245	842
1036	25.1067372524562	819
1037	25.1370864017463	792
1038	25.167435626486	781
1039	25.1977849267663	817
1040	25.2281343026781	860
1041	25.2584837543126	781
1042	25.2888332817608	773
1043	25.3191828851137	825
1044	25.3495325644623	813
1045	25.3798823198977	793
1046	25.4102321515108	776
1047	25.4405820593928	840
1048	25.4709320436347	844
1049	25.5012821043274	837
1050	25.531632241562	852
1051	25.5619824554297	849
1052	25.5923327460212	813
1053	25.6226831134278	813
1054	25.6530335577405	805
1055	25.6833840790502	811
1056	25.7137346774481	802
1057	25.744085353025	886
1058	25.7744361058722	806
1059	25.8047869360805	857
1060	25.8351378437411	813
1061	25.865488828945	884
1062	25.8958398917831	803
1063	25.9261910323466	860
1064	25.9565422507265	796
1065	25.9868935470137	808
1066	26.0172449212994	818
1067	26.0475963736745	855
1068	26.0779479042301	826
1069	26.1082995130573	825
1070	26.138651200247	880
1071	26.1690029658902	840
1072	26.1993548100781	872
1073	26.2297067329017	875
1074	26.2600587344519	812
1075	26.2904108148198	870
1076	26.3207629740964	839
1077	26.3511152123729	831
1078	26.3814675297401	925
1079	26.4118199262892	836
1080	26.4421724021111	886
1081	26.472524957297	857
1082	26.5028775919378	848
1083	26.5332303061245	869
1084	26.5635830999482	831
1085	26.5939359735	906
1086	26.6242889268708	896
1087	26.6546419601517	844
1088	26.6849950734337	854
1089	26.7153482668079	849
1090	26.7457015403652	905
1091	26.7760548941968	876
1092	26.8064083283936	832
1093	26.8367618430467	885
1094	26.8671154382471	861
1095	26.8974691140858	888
1096	26.927822870654	867
1097	26.9581767080425	871
1098	26.9885306263424	828
1099	27.0188846256449	871
1100	27.0492387060408	896
1101	27.0795928676212	830
1102	27.1099471104773	817
1103	27.1403014346999	879
1104	27.1706558403801	847
1105	27.201010327609	887
1106	27.2313648964776	873
1107	27.2617195470769	890
1108	27.2920742794979	901
1109	27.3224290938318	873
1110	27.3527839901694	862
1111	27.3831389686019	926
1112	27.4134940292203	909
1113	27.4438491721156	875
1114	27.4742043973788	851
1115	27.504559705101	877
1116	27.5349150953732	897
1117	27.5652705682864	848
1118	27.5956261239317	938
1119	27.6259817624002	816
1120	27.6563374837827	870
1121	27.6866932881704	880
1122	27.7170491756543	875
1123	27.7474051463254	835
1124	27.7777612002748	837
1125	27.8081173375934	880
1126	27.8384735583724	841
1127	27.8688298627027	874
1128	27.8991862506755	875
1129	27.9295427223816	908
1130	27.9598992779122	934
